Marca,Latitud,Longitud,Coordenadas_encontradas
3M,44.9780389,-93.2280099,Sí
Alle,52.4600753,13.4206428,Sí
Alpen,45.9083263,9.1420628,Sí
Angelito,18.3226946,-65.7514053,Sí
Bahco,59.9475329,30.363532,Sí
Bauker,61.2736795,10.1586468,Sí
Bellota,39.4398789,-7.0132623,Sí
Black And Decker,39.5876403,-76.8513433,Sí
Bosh,33.9319621,-117.875972,Sí
Crowman,50.2000492,-126.4512374,Sí
Dakota,44.666655,-93.044911,Sí
Defender,53.387843,83.711281,Sí
Dormer,52.854588,-8.9789574,Sí
Eclipse,43.0472759,-87.8948825,Sí
Edelbrooks,,,No
Ferg,40.5,71.25,Sí
Fluke,53.168563,8.6218302,Sí
Force,42.9632573,13.4909482,Sí
Gedore,-29.77897,-51.1631893,Sí
Graztai,,,No
Harvest,34.8558725,-86.7491214,Sí
Higred,,,No
Indura,53.459721,23.883736,Sí
Insize,-38.9524582,-68.0895603,Sí
Isesa,-8.0184517,31.678016,Sí
J.K,-19.0935717,-44.4933717,Sí
Jk,33.84412,73.796642,Sí
Kennametal,13.0508314,77.4989333,Sí
Klein,30.0477196,-95.5324412,Sí
Knipe,43.6056107,-116.1825709,Sí
Korea,36.638392,127.6961188,Sí
Korloy,50.1943474,8.5883512,Sí
Lemco,-39.8325974,-73.250753,Sí
Lincoln,40.8088861,-96.7077751,Sí
List,55.0177399,8.4359967,Sí
Liszt,47.5033615,19.0645771,Sí
Loctite,40.3377932,49.8332266,Sí
Lámina,52.0836069,21.0261603,Sí
Man,52.4600753,13.4206428,Sí
Master Lock,43.0661862,-87.9535525,Sí
Miller,31.1591063,-84.737836,Sí
Mitsubishi,19.4223744,-99.0852376,Sí
Mitutoyo,-23.5702761,-46.2993194,Sí
Nikolson,,,No
Norton,39.7944702,-99.9100033,Sí
Odis,50.3861174,30.460015,Sí
Peña,42.4748009,-1.3097595,Sí
Proflex,50.8707309,6.993946,Sí
Proto,-6.9655412,109.6694008,Sí
Saandog,,,No
Sandvick,48.9446554,142.1920979,Sí
Sandvik,58.7876452,-2.9763807,Sí
Sant,18.9908235,-71.9943985,Sí
Sds Plus,-6.1146284,106.8833895,Sí
Stanley,-51.6930616,-57.856525,Sí
Starrett,-0.1167591,-78.4798799,Sí
Starrey,50.4800457,13.8952006,Sí
Steelpro,-27.5905258,152.9267278,Sí
Stretto,43.7987234,15.6415407,Sí
Toma Weldon,,,No
Tools,59.3460007,18.0380667,Sí
Tullmex,,,No
Tótem,-34.5780338,-58.4681703,Sí
Vertex,-33.9095845,151.2120614,Sí
Volkel,51.6440771,5.6557033,Sí
Walter,49.28462,22.2998,Sí
Widia,51.4464192,6.9885137,Sí
