nombre,caracteristica,Marca,pais,area
Lentes de Seguridad,Transparentes - Oscuros - Distintos modelos,Steelpro,,EPP
Guantes de Cabritilla,Sin Forro / Con Forro,,,EPP
Guantes de Soldador,,,,EPP
Coletos Soldador,,,,EPP
Polainas,,,,EPP
Buzos de Papel,,,,EPP
Guantes de Temperatura,,,,EPP
Guantes de Látex,,,,EPP
Máscara Media Cara,,,,EPP
Filtros,,,,EPP
Máscara Cara Completa,,,,EPP
Bloqueador Solar,,,,EPP
Tapones Auditivos,Fonos,,,EPP
Tapones Auditivos,Esponja,,,EPP
Máscaras Desechables,,,,EPP
Máscara de Soldador Fotosensible,,Bauker,,EPP
Zapatos de Seguridad,"Dist. Entornos(Minero,Industrial,Eléctrico,Otros)",Edelbrooks,,EPP
Zapatos de Seguridad,"Dist. Entornos(Minero,Industrial,Eléctrico,Otros)",Proflex,,EPP
Zapatos de Seguridad,"Dist. Entornos(Minero,Industrial,Eléctrico,Otros)",Dakota,,EPP
Zapatos de Seguridad,"Dist. Entornos(Minero,Industrial,Eléctrico,Otros)",Defender,,EPP
Alicates Tipo Enfierrador,,Crowman,,Ferretería
Alicates Tipo Enfierrador,,Force,,Ferretería
Alargadores,,,,Ferretería
Alicates Universales,,Stanley,,Ferretería
Alicates Universales,,Force,,Ferretería
Alicates Universales,,Tullmex,,Ferretería
Alicates Universales,,Bahco,,Ferretería
Alicates Universales,,Klein,,Ferretería
Alicates Universales,,Tools,,Ferretería
Alicate Profesional,"8""",Black and Decker,Alemania,Ferretería
Alicate Saca Seguros,,,,Ferretería
Adaptador SDS Pluss,,,,Ferretería
Adhesivos Super Glue,,,,Ferretería
Adhesivos Loctite 495,,,,Ferretería
Adhesivos Loctite 416,,,,Ferretería
Adhesivos Loctite 402,,,,Ferretería
Aprieta Terminales,,Force,,Ferretería
Aprieta Terminales,,Knipe,,Ferretería
Bisagras para puerta,,,,Ferretería
Brochas,,,,Ferretería
Broca p/hormigón,4 mm.,,,Ferretería
Broca p/hormigón,6 mm.,,,Ferretería
Broca p/hormigón,8 mm.,,,Ferretería
Broca p/hormigón,10 mm.,,,Ferretería
Broca p/hormigón,12 mm.,,,Ferretería
Broca p/hormigón,45659,,,Ferretería
